cell,mean,median,sd
20210629_MKY3487_01_Cell01_GFP_BS,5.792,4,10.34
20210629_MKY3487_01_Cell02_GFP_BS,4.26,3,4.742
20210629_MKY3487_01_Cell03_GFP_BS,5.832,4,11.632
20210629_MKY3487_01_Cell04_GFP_BS,8.108,4,14.781
20210629_MKY3487_01_Cell05_GFP_BS,4.888,4,8.533
20210629_MKY3487_01_Cell06_GFP_BS,7.442,5,14.199
20210629_MKY3487_01_Cell07_GFP_BS,5.835,4,13.677
20210629_MKY3487_01_Cell08_GFP_BS,2.66,2,3.693
20210629_MKY3487_01_Cell09_GFP_BS,3.99,3,5.836
20210629_MKY3487_01_Cell10_GFP_BS,6.003,4,8.575
20210629_MKY3487_01_Cell11_GFP_BS,4.152,3,8.002
20210629_MKY3487_01_Cell12_GFP_BS,5.33,4,6.519
20210629_MKY3487_02_Cell01_GFP_BS,4.844,3,10.847
20210629_MKY3487_02_Cell02_GFP_BS,7.163,4,14.661
20210629_MKY3487_02_Cell03_GFP_BS,8.364,4,16.149
20210629_MKY3487_02_Cell04_GFP_BS,5.448,5,5.094
20210629_MKY3487_02_Cell05_GFP_BS,4.524,4,5.765
20210629_MKY3487_02_Cell06_GFP_BS,3.865,3,6.608
20210629_MKY3487_02_Cell07_GFP_BS,4.434,3,6.337
20210629_MKY3487_02_Cell08_GFP_BS,4.842,4,6.432
20210629_MKY3487_02_Cell09_GFP_BS,4.456,4,4.411
20210629_MKY3487_02_Cell10_GFP_BS,3.284,3,4.094
20210629_MKY3487_02_Cell11_GFP_BS,8.206,4,26.687
20210629_MKY3487_02_Cell12_GFP_BS,3.86,3,7.677
20210629_MKY3487_03_Cell01_GFP_BS,4.193,3,6.56
20210629_MKY3487_03_Cell02_GFP_BS,3.676,3,7.896
20210629_MKY3487_03_Cell03_GFP_BS,4.857,4,5.61
20210629_MKY3487_03_Cell04_GFP_BS,4.417,3,6.371
20210629_MKY3487_03_Cell05_GFP_BS,3.478,3,4.321
20210629_MKY3487_03_Cell06_GFP_BS,5.373,4,10.214
20210629_MKY3487_03_Cell07_GFP_BS,6.889,4,20.208
20210629_MKY3487_03_Cell08_GFP_BS,6.002,4,13.15
20210629_MKY3487_03_Cell09_GFP_BS,7.987,4,26.819
20210629_MKY3487_03_Cell10_GFP_BS,5.214,4,7.214
20210629_MKY3487_03_Cell11_GFP_BS,7.121,4,14.953
20210629_MKY3487_03_Cell12_GFP_BS,5.28,4,9.421
20210629_MKY3487_04_Cell01_GFP_BS,3.786,3,5.192
20210629_MKY3487_04_Cell02_GFP_BS,3.549,3,6.81
20210629_MKY3487_04_Cell03_GFP_BS,4.491,3,7.605
20210629_MKY3487_04_Cell04_GFP_BS,5.511,4,10.304
20210629_MKY3487_04_Cell05_GFP_BS,5.442,4,9.516
20210629_MKY3487_04_Cell06_GFP_BS,5.204,4,8.079
20210629_MKY3487_04_Cell07_GFP_BS,3.359,3,2.802
20210629_MKY3487_04_Cell08_GFP_BS,4.064,3,8.041
20210629_MKY3487_04_Cell09_GFP_BS,3.574,3,4.642
20210629_MKY3487_04_Cell10_GFP_BS,5.401,4,8.184
20210629_MKY3487_05_Cell01_GFP_BS,6.089,4,11.526
20210629_MKY3487_05_Cell02_GFP_BS,6.206,5,7.583
20210629_MKY3487_05_Cell03_GFP_BS,3.87,3,4.688
20210629_MKY3487_05_Cell04_GFP_BS,4.933,3,8.697
20210629_MKY3487_05_Cell05_GFP_BS,6.369,5,6.891
20210629_MKY3487_05_Cell06_GFP_BS,5.722,4,7.824
20210629_MKY3487_05_Cell07_GFP_BS,6.793,5,13.024
20210629_MKY3487_05_Cell08_GFP_BS,5.09,3,13.394
20210629_MKY3487_05_Cell09_GFP_BS,7.364,5,12.764
20210629_MKY3487_05_Cell10_GFP_BS,4.584,3,6.951
20210629_MKY3487_05_Cell11_GFP_BS,5.901,4,10.678
20210629_MKY3487_05_Cell12_GFP_BS,4.903,4,4.573
