signal,movie,position,time,intensity
bg,01,x153y473w4h4,15,99.938
bg,01,x153y473w4h4,20,100.188
bg,01,x153y473w4h4,25,101.312
bg,01,x153y473w4h4,30,100.375
bg,01,x153y473w4h4,35,99.938
bg,01,x153y473w4h4,40,99.938
bg,01,x153y473w4h4,45,100.188
bg,01,x153y473w4h4,50,100.562
bg,01,x153y473w4h4,55,99.938
bg,01,x153y473w4h4,60,99.938
bg,01,x153y473w4h4,65,99.875
bg,01,x153y473w4h4,70,100.625
bg,01,x153y473w4h4,75,100.125
bg,01,x153y473w4h4,80,100.75
bg,01,x153y473w4h4,85,99.375
bg,01,x153y473w4h4,90,99.938
bg,01,x153y473w4h4,95,100.125
bg,01,x153y473w4h4,100,100.875
bg,01,x153y473w4h4,105,99.812
bg,01,x153y473w4h4,110,100.812
bg,01,x153y473w4h4,115,100
bg,01,x153y473w4h4,120,100.625
bg,01,x153y473w4h4,125,100.375
bg,01,x153y473w4h4,130,99.75
bg,01,x153y473w4h4,135,99.312
bg,01,x153y473w4h4,140,100.75
bg,01,x153y473w4h4,145,100.688
bg,01,x153y473w4h4,150,100.062
bg,01,x153y473w4h4,155,100.125
bg,01,x153y473w4h4,160,100.125
bg,01,x153y473w4h4,165,100.5
bg,01,x153y473w4h4,170,100.375
bg,01,x153y473w4h4,175,101.125
bg,01,x153y473w4h4,180,100.5
bg,01,x153y473w4h4,185,100.938
bg,01,x153y473w4h4,190,100.188
bg,01,x153y473w4h4,195,100.562
bg,01,x153y473w4h4,200,101.188
bg,01,x153y473w4h4,205,100.375
bg,01,x153y473w4h4,210,100.75
bg,01,x153y473w4h4,215,100.062
bg,01,x153y473w4h4,220,100.5
bg,01,x153y473w4h4,225,100.5
bg,01,x153y473w4h4,230,100.5
bg,01,x153y473w4h4,235,100.125
bg,01,x153y473w4h4,240,100.375
bg,01,x153y473w4h4,245,100.562
bg,01,x153y473w4h4,250,100.188
bg,01,x153y473w4h4,255,100.312
bg,01,x153y473w4h4,260,101
bg,01,x153y473w4h4,265,100.125
bg,01,x153y473w4h4,270,100.438
bg,01,x153y473w4h4,275,100
bg,01,x153y473w4h4,280,100.625
bg,01,x153y473w4h4,285,100.25
bg,01,x153y473w4h4,290,99.875
bg,01,x153y473w4h4,295,100.688
bg,01,x153y473w4h4,300,100.125
bg,01,x153y473w4h4,305,99.875
bg,01,x153y473w4h4,310,100.625
bg,01,x153y473w4h4,315,100.375
bg,01,x153y473w4h4,320,100.312
bg,01,x153y473w4h4,325,101
bg,01,x153y473w4h4,330,100.625
bg,01,x153y473w4h4,335,101.5
bg,01,x153y473w4h4,340,100.625
bg,01,x153y473w4h4,345,99.75
bg,01,x153y473w4h4,350,100.25
bg,01,x153y473w4h4,355,101.25
bg,01,x153y473w4h4,360,100
bg,01,x153y473w4h4,365,100.25
bg,01,x153y473w4h4,370,100.938
bg,01,x153y473w4h4,375,100.438
bg,01,x153y473w4h4,380,100.188
bg,01,x153y473w4h4,385,99.938
bg,01,x153y473w4h4,390,99.812
bg,01,x153y473w4h4,395,100.312
bg,01,x153y473w4h4,400,100.5
bg,01,x153y473w4h4,405,100.938
bg,01,x153y473w4h4,410,99.812
bg,01,x153y473w4h4,415,100.312
bg,01,x153y473w4h4,420,100.688
bg,01,x153y473w4h4,425,100.75
bg,01,x153y473w4h4,430,100.438
bg,01,x153y473w4h4,435,100.688
bg,01,x153y473w4h4,440,100.875
bg,01,x153y473w4h4,445,100.812
bg,01,x153y473w4h4,450,99.938
bg,01,x153y473w4h4,455,99.625
bg,01,x153y473w4h4,460,100
bg,01,x153y473w4h4,465,100.562
bg,01,x153y473w4h4,470,100.938
bg,01,x153y473w4h4,475,100.812
bg,01,x153y473w4h4,480,99.875
bg,01,x153y473w4h4,485,101.062
bg,01,x153y473w4h4,490,100.312
bg,01,x153y473w4h4,495,100.062
oe.total,01,x187y406w41h39,15,102.283
oe.total,01,x187y406w41h39,20,101.971
oe.total,01,x187y406w41h39,25,102.048
oe.total,01,x187y406w41h39,30,101.994
oe.total,01,x187y406w41h39,35,102.038
oe.total,01,x187y406w41h39,40,101.922
oe.total,01,x187y406w41h39,45,101.932
oe.total,01,x187y406w41h39,50,101.886
oe.total,01,x187y406w41h39,55,102.065
oe.total,01,x187y406w41h39,60,101.907
oe.total,01,x187y406w41h39,65,102.151
oe.total,01,x187y406w41h39,70,102.215
oe.total,01,x187y406w41h39,75,102.273
oe.total,01,x187y406w41h39,80,102.329
oe.total,01,x187y406w41h39,85,102.367
oe.total,01,x187y406w41h39,90,102.395
oe.total,01,x187y406w41h39,95,102.468
oe.total,01,x187y406w41h39,100,102.486
oe.total,01,x187y406w41h39,105,102.74
oe.total,01,x187y406w41h39,110,102.883
oe.total,01,x187y406w41h39,115,103.048
oe.total,01,x187y406w41h39,120,103.629
oe.total,01,x187y406w41h39,125,103.634
oe.total,01,x187y406w41h39,130,103.774
oe.total,01,x187y406w41h39,135,103.598
oe.total,01,x187y406w41h39,140,104.282
oe.total,01,x187y406w41h39,145,104.298
oe.total,01,x187y406w41h39,150,104.211
oe.total,01,x187y406w41h39,155,104.297
oe.total,01,x187y406w41h39,160,104.006
oe.total,01,x187y406w41h39,165,104.067
oe.total,01,x187y406w41h39,170,104.298
oe.total,01,x187y406w41h39,175,104.203
oe.total,01,x187y406w41h39,180,104.277
oe.total,01,x187y406w41h39,185,104.409
oe.total,01,x187y406w41h39,190,104.643
oe.total,01,x187y406w41h39,195,104.402
oe.total,01,x187y406w41h39,200,104.511
oe.total,01,x187y406w41h39,205,104.806
oe.total,01,x187y406w41h39,210,104.585
oe.total,01,x187y406w41h39,215,104.941
oe.total,01,x187y406w41h39,220,104.875
oe.total,01,x187y406w41h39,225,105.242
oe.total,01,x187y406w41h39,230,105.528
oe.total,01,x187y406w41h39,235,104.996
oe.total,01,x187y406w41h39,240,105.006
oe.total,01,x187y406w41h39,245,105.238
oe.total,01,x187y406w41h39,250,105.532
oe.total,01,x187y406w41h39,255,105.943
oe.total,01,x187y406w41h39,260,105.421
oe.total,01,x187y406w41h39,265,106.088
oe.total,01,x187y406w41h39,270,106.184
oe.total,01,x187y406w41h39,275,106.351
oe.total,01,x187y406w41h39,280,106.49
oe.total,01,x187y406w41h39,285,105.651
oe.total,01,x187y406w41h39,290,105.485
oe.total,01,x187y406w41h39,295,104.861
oe.total,01,x187y406w41h39,300,104.806
oe.total,01,x187y406w41h39,305,104.884
oe.total,01,x187y406w41h39,310,104.895
oe.total,01,x187y406w41h39,315,105.539
oe.total,01,x187y406w41h39,320,105.283
oe.total,01,x187y406w41h39,325,106.104
oe.total,01,x187y406w41h39,330,105.982
oe.total,01,x187y406w41h39,335,106.058
oe.total,01,x187y406w41h39,340,106.154
oe.total,01,x187y406w41h39,345,106.106
oe.total,01,x187y406w41h39,350,106.081
oe.total,01,x187y406w41h39,355,106.726
oe.total,01,x187y406w41h39,360,106.744
oe.total,01,x187y406w41h39,365,107.23
oe.total,01,x187y406w41h39,370,107.471
oe.total,01,x187y406w41h39,375,106.812
oe.total,01,x187y406w41h39,380,107.328
oe.total,01,x187y406w41h39,385,106.508
oe.total,01,x187y406w41h39,390,107.257
oe.total,01,x187y406w41h39,395,107.774
oe.total,01,x187y406w41h39,400,107.794
oe.total,01,x187y406w41h39,405,107.667
oe.total,01,x187y406w41h39,410,108.569
oe.total,01,x187y406w41h39,415,108.612
oe.total,01,x187y406w41h39,420,109.471
oe.total,01,x187y406w41h39,425,110.574
oe.total,01,x187y406w41h39,430,110.593
oe.total,01,x187y406w41h39,435,111.46
oe.total,01,x187y406w41h39,440,110.823
oe.total,01,x187y406w41h39,445,111.059
oe.total,01,x187y406w41h39,450,111.532
oe.total,01,x187y406w41h39,455,113.074
oe.total,01,x187y406w41h39,460,112.159
oe.total,01,x187y406w41h39,465,112.049
oe.total,01,x187y406w41h39,470,112.755
oe.total,01,x187y406w41h39,475,112.667
oe.total,01,x187y406w41h39,480,112.131
oe.total,01,x187y406w41h39,485,112.66
oe.total,01,x187y406w41h39,490,112.876
oe.total,01,x187y406w41h39,495,113.279
oe.cyto,01,x213y417w5h5,15,102.12
oe.cyto,01,x213y417w5h5,20,101.64
oe.cyto,01,x213y417w5h5,25,101.76
oe.cyto,01,x213y417w5h5,30,102.08
oe.cyto,01,x213y417w5h5,35,101.52
oe.cyto,01,x213y417w5h5,40,102.52
oe.cyto,01,x213y417w5h5,45,102
oe.cyto,01,x213y417w5h5,50,102.16
oe.cyto,01,x213y417w5h5,55,103.12
oe.cyto,01,x213y417w5h5,60,103.08
oe.cyto,01,x213y417w5h5,65,101.32
oe.cyto,01,x213y417w5h5,70,101.24
oe.cyto,01,x213y417w5h5,75,101.84
oe.cyto,01,x213y417w5h5,80,102.56
oe.cyto,01,x213y417w5h5,85,103.16
oe.cyto,01,x213y417w5h5,90,101.8
oe.cyto,01,x213y417w5h5,95,102.28
oe.cyto,01,x213y417w5h5,100,103.32
oe.cyto,01,x213y417w5h5,105,103.08
oe.cyto,01,x213y417w5h5,110,103.28
oe.cyto,01,x213y417w5h5,115,103.08
oe.cyto,01,x213y417w5h5,120,103.64
oe.cyto,01,x213y417w5h5,125,103.16
oe.cyto,01,x213y417w5h5,130,103.4
oe.cyto,01,x213y417w5h5,135,103.04
oe.cyto,01,x213y417w5h5,140,102.64
oe.cyto,01,x213y417w5h5,145,103.2
oe.cyto,01,x213y417w5h5,150,103.64
oe.cyto,01,x213y417w5h5,155,104.24
oe.cyto,01,x213y417w5h5,160,103.28
oe.cyto,01,x213y417w5h5,165,102.56
oe.cyto,01,x213y417w5h5,170,103.28
oe.cyto,01,x213y417w5h5,175,103.4
oe.cyto,01,x213y417w5h5,180,104.84
oe.cyto,01,x213y417w5h5,185,103.72
oe.cyto,01,x213y417w5h5,190,103.12
oe.cyto,01,x213y417w5h5,195,102.84
oe.cyto,01,x213y417w5h5,200,102.8
oe.cyto,01,x213y417w5h5,205,103.6
oe.cyto,01,x213y417w5h5,210,102.92
oe.cyto,01,x213y417w5h5,215,103.36
oe.cyto,01,x213y417w5h5,220,103.08
oe.cyto,01,x213y417w5h5,225,103.08
oe.cyto,01,x213y417w5h5,230,103.48
oe.cyto,01,x213y417w5h5,235,103.68
oe.cyto,01,x213y417w5h5,240,104.52
oe.cyto,01,x213y417w5h5,245,103.84
oe.cyto,01,x213y417w5h5,250,102.76
oe.cyto,01,x213y417w5h5,255,103.08
oe.cyto,01,x213y417w5h5,260,102.24
oe.cyto,01,x213y417w5h5,265,103.2
oe.cyto,01,x213y417w5h5,270,103.08
oe.cyto,01,x213y417w5h5,275,103.04
oe.cyto,01,x213y417w5h5,280,102.48
oe.cyto,01,x213y417w5h5,285,102.92
oe.cyto,01,x213y417w5h5,290,103.48
oe.cyto,01,x213y417w5h5,295,102.44
oe.cyto,01,x213y417w5h5,300,103.04
oe.cyto,01,x213y417w5h5,305,103.64
oe.cyto,01,x213y417w5h5,310,103.2
oe.cyto,01,x213y417w5h5,315,104.16
oe.cyto,01,x213y417w5h5,320,102.88
oe.cyto,01,x213y417w5h5,325,103.64
oe.cyto,01,x213y417w5h5,330,102.84
oe.cyto,01,x213y417w5h5,335,103.44
oe.cyto,01,x213y417w5h5,340,103.2
oe.cyto,01,x213y417w5h5,345,102.72
oe.cyto,01,x213y417w5h5,350,102.52
oe.cyto,01,x213y417w5h5,355,103.12
oe.cyto,01,x213y417w5h5,360,103.2
oe.cyto,01,x213y417w5h5,365,104.32
oe.cyto,01,x213y417w5h5,370,103.84
oe.cyto,01,x213y417w5h5,375,103.32
oe.cyto,01,x213y417w5h5,380,104.12
oe.cyto,01,x213y417w5h5,385,105
oe.cyto,01,x213y417w5h5,390,104.24
oe.cyto,01,x213y417w5h5,395,104
oe.cyto,01,x213y417w5h5,400,103.64
oe.cyto,01,x213y417w5h5,405,103.36
oe.cyto,01,x213y417w5h5,410,105.44
oe.cyto,01,x213y417w5h5,415,103.52
oe.cyto,01,x213y417w5h5,420,104.8
oe.cyto,01,x213y417w5h5,425,106.4
oe.cyto,01,x213y417w5h5,430,105.88
oe.cyto,01,x213y417w5h5,435,106.36
oe.cyto,01,x213y417w5h5,440,103.52
oe.cyto,01,x213y417w5h5,445,103.92
oe.cyto,01,x213y417w5h5,450,104.88
oe.cyto,01,x213y417w5h5,455,103.92
oe.cyto,01,x213y417w5h5,460,103.64
oe.cyto,01,x213y417w5h5,465,103.52
oe.cyto,01,x213y417w5h5,470,102
oe.cyto,01,x213y417w5h5,475,102.72
oe.cyto,01,x213y417w5h5,480,103.2
oe.cyto,01,x213y417w5h5,485,104.88
oe.cyto,01,x213y417w5h5,490,104.92
oe.cyto,01,x213y417w5h5,495,105.12
wt.total,01,x249y355w32h34,15,111.855
wt.total,01,x249y355w32h34,20,111.467
wt.total,01,x249y355w32h34,25,111.414
wt.total,01,x249y355w32h34,30,111.321
wt.total,01,x249y355w32h34,35,111.403
wt.total,01,x249y355w32h34,40,111.54
wt.total,01,x249y355w32h34,45,111.416
wt.total,01,x249y355w32h34,50,110.947
wt.total,01,x249y355w32h34,55,112.271
wt.total,01,x249y355w32h34,60,110.745
wt.total,01,x249y355w32h34,65,110.536
wt.total,01,x249y355w32h34,70,110.5
wt.total,01,x249y355w32h34,75,110.988
wt.total,01,x249y355w32h34,80,111.659
wt.total,01,x249y355w32h34,85,111.386
