 ,Mean
1,104.440
2,103.920
3,104.440
4,103.720
5,103.680
6,103.840
7,104.520
8,102.680
9,104.240
10,104.440
11,104.160
12,104.960
13,104.960
14,104.920
15,105.280
16,105.960
17,105.120
18,105.280
19,104.760
20,104.840
21,105.280
22,104.400
23,104.920
24,104.840
25,104.720
26,105.360
27,105.080
28,104.440
29,105.640
30,104.800
31,104.280
32,104.280
33,105.560
34,103.800
35,104.320
36,104.640
37,104.240
38,105.200
39,104.640
40,105.360
41,104.360
42,105.440
43,105.720
44,106.240
45,104.960
46,106.200
47,105.520
48,105.960
49,105.600
50,106.680
51,106.000
52,105.560
53,107.080
54,105.920
55,105.080
56,106.120
57,106.600
58,105.240
59,106.240
60,104.920
61,104.800
62,105.640
63,105.800
64,105.520
65,106.600
66,104.240
67,104.960
68,105.120
69,104.360
70,105.600
71,105.320
72,105.440
73,105.800
74,105.920
75,106.040
76,105.360
77,105.120
78,105.600
79,106.000
80,105.880
81,105.400
82,106.320
83,106.560
84,107.440
85,106.720
86,106.440
87,108.840
88,106.920
89,107.360
90,106.920
91,108.120
92,107.640
93,105.800
94,106.720
95,107.720
96,106.600
97,105.680
