 ,Mean
1,104.600
2,105.240
3,104.720
4,105.160
5,105.440
6,104.880
7,104.920
8,104.680
9,103.640
10,103.640
11,104.120
12,104.960
13,104.560
14,105.080
15,105.600
16,105.720
17,106.280
18,106.040
19,106.600
20,104.280
21,105.000
22,105.240
23,106.920
24,104.200
25,106.120
26,105.600
27,105.600
28,106.240
29,106.680
30,105.800
31,105.480
32,105.320
33,105.080
34,105.160
35,103.000
36,103.320
37,103.360
38,103.760
39,102.560
40,104.720
41,104.160
42,102.920
43,103.880
44,102.600
45,104.600
46,103.160
47,103.080
48,104.400
49,103.680
50,105.880
51,105.800
52,105.920
53,104.880
54,105.040
55,105.360
56,105.120
57,103.960
58,104.080
59,104.880
60,104.680
61,105.320
62,103.520
63,104.760
64,104.400
65,105.480
66,105.720
67,103.600
68,104.360
69,104.400
70,104.320
71,104.160
72,105.800
73,103.880
74,104.760
75,105.520
76,105.080
77,104.200
78,103.960
79,104.880
80,104.040
81,104.640
82,103.720
83,104.080
84,104.840
85,104.560
86,105.040
87,104.080
88,105.080
89,104.840
90,104.360
91,105.240
92,104.520
93,104.640
94,104.720
95,104.640
96,105.280
97,104.520
