 ,Mean
1,100.560
2,100.360
3,100.600
4,100.840
5,100.320
6,100.240
7,100.720
8,100.320
9,99.840
10,100.320
11,100.200
12,100.120
13,99.960
14,100.280
15,100.320
16,100.840
17,101.200
18,100.360
19,100.640
20,100.600
21,100.320
22,101.120
23,100.680
24,100.960
25,100.560
26,100.760
27,100.240
28,100.520
29,100.520
30,100.760
31,100.520
32,100.880
33,100.840
34,100.840
35,100.480
36,100.520
37,101.040
38,100.120
39,100.680
40,100.560
41,99.920
42,99.960
43,100.520
44,100.760
45,100.560
46,100.280
47,100.080
48,100.400
49,100.440
50,100.440
51,101.120
52,100.000
53,100.080
54,101.080
55,100.200
56,100.240
57,99.840
58,100.640
59,100.040
60,100.640
61,101.320
62,100.560
63,100.880
64,100.560
65,100.720
66,100.760
67,100.240
68,99.960
69,100.200
70,100.520
71,101.040
72,100.520
73,100.880
74,100.720
75,101.040
76,100.880
77,100.640
78,100.560
79,100.880
80,100.640
81,100.480
82,100.400
83,100.600
84,100.680
85,100.160
86,100.960
87,99.680
88,101.040
89,100.960
90,100.880
91,100.960
92,100.400
93,100.880
94,100.840
95,100.520
96,100.160
97,100.040
