 ,Mean
1,103.185
2,102.747
3,102.692
4,102.756
5,102.646
6,102.582
7,102.635
8,102.701
9,102.877
10,102.976
11,102.969
12,103.235
13,103.530
14,103.952
15,104.379
16,104.546
17,104.714
18,104.421
19,104.665
20,105.176
21,105.067
22,105.108
23,105.223
24,105.469
25,105.667
26,105.752
27,105.593
28,105.399
29,105.597
30,105.756
31,106.013
32,105.427
33,105.541
34,104.692
35,105.040
36,105.653
37,105.902
38,105.575
39,105.873
40,106.409
41,106.288
42,106.597
43,107.030
44,106.850
45,106.921
46,107.081
47,108.207
48,108.477
49,108.044
50,108.427
51,108.449
52,109.152
53,109.539
54,109.301
55,109.338
56,109.394
57,109.750
58,110.812
59,110.997
60,110.511
61,109.898
62,110.694
63,110.883
64,111.167
65,111.913
66,112.593
67,112.717
68,114.182
69,114.474
70,115.189
71,114.722
72,115.493
73,116.503
74,117.273
75,117.707
76,117.972
77,116.916
78,117.024
79,117.258
80,116.600
81,117.428
82,117.847
83,118.223
84,118.838
85,118.999
86,118.606
87,118.715
88,117.775
89,117.358
90,117.226
91,118.359
92,117.675
93,117.642
94,117.690
95,118.236
96,117.775
97,117.446
