 ,Mean
1,106.188
2,107.136
3,106.741
4,107.312
5,107.846
6,108.008
7,107.276
8,108.133
9,108.927
10,109.076
11,109.221
12,108.996
13,109.252
14,109.214
15,108.315
16,109.210
17,108.727
18,108.228
19,108.066
20,109.096
21,108.930
22,108.415
23,108.572
24,108.121
25,108.854
26,108.661
27,108.765
28,109.462
29,109.548
30,109.571
31,109.226
32,109.679
33,109.083
34,109.872
35,109.155
36,109.810
37,108.933
38,109.157
39,109.206
40,108.651
41,108.960
42,109.090
43,109.421
44,109.529
45,109.100
46,108.897
47,108.822
48,109.326
49,109.294
50,109.335
51,108.904
52,108.291
53,108.833
54,108.884
55,109.201
56,109.471
57,108.984
58,108.844
59,109.868
60,109.124
61,109.025
62,109.582
63,108.950
64,109.591
65,110.245
66,109.244
67,109.119
68,109.019
69,109.208
70,109.920
71,109.827
72,110.011
73,110.112
74,109.460
75,109.548
76,109.947
77,110.518
78,109.032
79,110.131
80,110.359
81,109.164
82,109.794
83,110.118
84,109.628
85,110.466
86,110.644
87,110.246
88,110.093
89,110.312
90,110.354
91,110.346
92,110.395
93,110.213
94,109.892
95,110.212
96,110.324
97,110.294
