"strain","stack","window","target","colocalizes","dataset"
"MKY3454","01","x384y187","Ent1","1","1"
"MKY3454","01","x562y798","Ent1","1","1"
"MKY3454","01","x618y695","Ent1","0","1"
"MKY3454","01","x806y635","Ent1","1","1"
"MKY3454","01","x851y534","Ent1","1","1"
"MKY3454","02","x120y456","Ent1","1","1"
"MKY3454","02","x238y135","Ent1","0","1"
"MKY3454","02","x591y60","Ent1","1","1"
"MKY3454","02","x964y542","Ent1","0","1"
"MKY3454","03","x114y451","Ent1","1","1"
"MKY3454","03","x1272y233","Ent1","1","1"
"MKY3454","03","x144y429","Ent1","1","1"
"MKY3454","03","x625y166","Ent1","1","1"
"MKY3454","03","x91y355","Ent1","1","1"
"MKY3454","04","x339y878","Ent1","1","1"
"MKY3454","04","x65y324","Ent1","1","1"
"MKY3454","04","x707y104","Ent1","1","1"
"MKY3454","05","x1097y655","Ent1","1","1"
"MKY3454","05","x1240y738","Ent1","1","1"
"MKY3454","05","x198y961","Ent1","1","1"
"MKY3454","05","x494y568","Ent1","1","1"
"MKY3454","05","x541y160","Ent1","1","1"
"MKY3454","05","x776y520","Ent1","1","1"
"MKY3454","05","x854y790","Ent1","1","1"
"MKY3454","06","x1191y850","Ent1","1","1"
"MKY3454","06","x1210y755","Ent1","1","1"
"MKY3454","06","x142y673","Ent1","1","1"
"MKY3454","06","x57y645","Ent1","1","1"
"MKY3454","07","x708y816","Ent1","1","1"
"MKY3454","08","x249y661","Ent1","1","1"
"MKY3454","08","x291y128","Ent1","1","1"
"MKY3454","08","x530y95","Ent1","1","1"
"MKY3454","09","x1243y408","Ent1","1","1"
"MKY3454","09","x728y810","Ent1","1","1"
"MKY3454","09","x854y189","Ent1","1","1"
"MKY3454","10","x1071y607","Ent1","1","1"
"MKY3454","10","x381y770","Ent1","1","1"
"MKY3454","10","x924y912","Ent1","1","1"
"MKY3454","10","x982y353","Ent1","1","1"
"MKY3454","11","x233y744","Ent1","1","1"
"MKY3454","11","x56y640","Ent1","1","1"
"MKY3454","11","x885y524","Ent1","1","1"
"MKY3454","12","x1090y410","Ent1","1","1"
"MKY3454","12","x480y496","Ent1","1","1"
"MKY3454","12","x496y222","Ent1","1","1"
"MKY3454","12","x626y381","Ent1","1","1"
"MKY3454","12","x892y864","Ent1","1","1"
"MKY3454","13","x1004y327","Ent1","1","1"
"MKY3454","13","x1008y728","Ent1","1","1"
"MKY3454","13","x1132y484","Ent1","1","1"
"MKY3454","13","x397y661","Ent1","1","1"
"MKY3454","13","x71y642","Ent1","1","1"
"MKY3454","13","x984y148","Ent1","1","1"
"MKY3454","14","x792y280","Ent1","1","1"
"MKY3454","15","x382y707","Ent1","1","1"
"MKY3454","15","x425y550","Ent1","1","1"
"MKY3471","01","x363y81","Syp1","1","1"
"MKY3471","01","x883y875","Syp1","1","1"
"MKY3471","01","x933y257","Syp1","1","1"
"MKY3471","02","x1088y152","Syp1","1","1"
"MKY3471","02","x644y198","Syp1","1","1"
"MKY3471","03","x1137y503","Syp1","1","1"
"MKY3471","03","x1286y411","Syp1","1","1"
"MKY3471","03","x15y595","Syp1","1","1"
"MKY3471","03","x872y897","Syp1","1","1"
"MKY3471","03","x887y243","Syp1","1","1"
"MKY3471","04","x1196y384","Syp1","1","1"
"MKY3471","04","x119y662","Syp1","1","1"
"MKY3471","04","x1226y521","Syp1","1","1"
"MKY3471","04","x1227y574","Syp1","1","1"
"MKY3471","04","x96y553","Syp1","1","1"
"MKY3471","05","x1011y628","Syp1","1","1"
"MKY3471","05","x1121y895","Syp1","1","1"
"MKY3471","05","x790y98","Syp1","1","1"
"MKY3471","05","x862y751","Syp1","1","1"
"MKY3471","06","x522y822","Syp1","1","1"
"MKY3471","06","x526y703","Syp1","1","1"
