"target","dataset","x","n","p","p_min","p_max"
"Syp1","1","54","56","0.9643","0.8788","0.990"
"Syp1","2","73","73","1.0000","0.9500","1.000"
"Syp1","3","79","79","1.0000","0.9536","1.000"
"Ent1","1","53","56","0.9464","0.8539","0.982"
"Ent1","2","49","49","1.0000","0.9273","1.000"
"Ent1","3","53","57","0.9298","0.8330","0.972"
"Sla2","1","62","62","1.0000","0.9417","1.000"
"Sla2","2","39","39","1.0000","0.9103","1.000"
"Sla2","3","69","70","0.9857","0.9234","0.999"
"End3","1","63","63","1.0000","0.9425","1.000"
"End3","2","51","51","1.0000","0.9300","1.000"
"End3","3","55","56","0.9821","0.9055","0.999"
"Pan1","1","66","68","0.9706","0.8990","0.992"
"Pan1","2","38","40","0.9500","0.8350","0.986"
"Pan1","3","37","37","1.0000","0.9059","1.000"
"Sla1","1","62","66","0.9394","0.8543","0.976"
"Sla1","2","43","46","0.9348","0.8250","0.978"
"Sla1","3","47","50","0.9400","0.8378","0.979"
"Las17","1","53","54","0.9815","0.9023","0.999"
"Las17","2","49","55","0.8909","0.7817","0.949"
"Las17","3","57","61","0.9344","0.8432","0.974"
"Myo5","1","20","52","0.3846","0.2647","0.520"
"Myo5","2","23","48","0.4792","0.3447","0.617"
"Myo5","3","14","36","0.3889","0.2478","0.551"
"Abp1","1","26","98","0.2653","0.1880","0.360"
"Abp1","2"," 8","71","0.1127","0.0582","0.207"
"Abp1","3"," 9","40","0.2250","0.1232","0.375"
"Rvs167","1"," 4","57","0.0702","0.0276","0.167"
"Rvs167","2","11","70","0.1571","0.0901","0.260"
"Rvs167","3"," 3","51","0.0588","0.0202","0.159"
