"strain","stack","cell","Ede1","nuages","bg","dataset"
"MKY0172","01","Cell01","FL","0","wt","1"
"MKY0172","01","Cell02","FL","0","wt","1"
"MKY0172","01","Cell03","FL","0","wt","1"
"MKY0172","01","Cell04","FL","0","wt","1"
"MKY0172","02","Cell01","FL","0","wt","1"
"MKY0172","02","Cell02","FL","0","wt","1"
"MKY0172","02","Cell03","FL","0","wt","1"
"MKY0172","02","Cell04","FL","0","wt","1"
"MKY0172","02","Cell05","FL","0","wt","1"
"MKY0172","02","Cell06","FL","0","wt","1"
"MKY0172","03","Cell01","FL","0","wt","1"
"MKY0172","03","Cell02","FL","0","wt","1"
"MKY0172","03","Cell03","FL","0","wt","1"
"MKY0172","03","Cell04","FL","0","wt","1"
"MKY0172","03","Cell05","FL","0","wt","1"
"MKY0172","03","Cell06","FL","0","wt","1"
"MKY0172","03","Cell07","FL","0","wt","1"
"MKY0172","04","Cell01","FL","0","wt","1"
"MKY0172","04","Cell02","FL","0","wt","1"
"MKY0172","04","Cell03","FL","0","wt","1"
"MKY0172","04","Cell04","FL","0","wt","1"
"MKY0172","04","Cell05","FL","0","wt","1"
"MKY0172","04","Cell06","FL","0","wt","1"
"MKY0172","04","Cell07","FL","0","wt","1"
"MKY0172","04","Cell08","FL","0","wt","1"
"MKY0172","04","Cell09","FL","0","wt","1"
"MKY0172","04","Cell10","FL","0","wt","1"
"MKY0172","04","Cell11","FL","0","wt","1"
"MKY0172","05","Cell01","FL","0","wt","1"
"MKY0172","05","Cell02","FL","0","wt","1"
"MKY0172","05","Cell03","FL","0","wt","1"
"MKY0172","05","Cell04","FL","0","wt","1"
"MKY0172","05","Cell05","FL","0","wt","1"
"MKY0172","05","Cell06","FL","0","wt","1"
"MKY0172","05","Cell07","FL","0","wt","1"
"MKY0172","05","Cell08","FL","0","wt","1"
"MKY0172","05","Cell09","FL","0","wt","1"
"MKY0532","01","Cell01","FL","1","3×ΔEA","1"
"MKY0532","01","Cell02","FL","1","3×ΔEA","1"
"MKY0532","01","Cell03","FL","1","3×ΔEA","1"
"MKY0532","01","Cell04","FL","1","3×ΔEA","1"
"MKY0532","01","Cell05","FL","1","3×ΔEA","1"
"MKY0532","01","Cell06","FL","1","3×ΔEA","1"
"MKY0532","01","Cell07","FL","1","3×ΔEA","1"
"MKY0532","01","Cell08","FL","1","3×ΔEA","1"
"MKY0532","01","Cell09","FL","1","3×ΔEA","1"
"MKY0532","01","Cell10","FL","1","3×ΔEA","1"
"MKY0532","02","Cell01","FL","1","3×ΔEA","1"
"MKY0532","02","Cell02","FL","1","3×ΔEA","1"
"MKY0532","02","Cell03","FL","1","3×ΔEA","1"
"MKY0532","02","Cell04","FL","1","3×ΔEA","1"
"MKY0532","02","Cell05","FL","1","3×ΔEA","1"
"MKY0532","02","Cell06","FL","1","3×ΔEA","1"
"MKY0532","02","Cell07","FL","1","3×ΔEA","1"
"MKY0532","02","Cell08","FL","1","3×ΔEA","1"
"MKY0532","03","Cell01","FL","1","3×ΔEA","1"
"MKY0532","03","Cell02","FL","1","3×ΔEA","1"
"MKY0532","03","Cell03","FL","1","3×ΔEA","1"
"MKY0532","03","Cell04","FL","1","3×ΔEA","1"
"MKY0532","03","Cell05","FL","1","3×ΔEA","1"
"MKY0532","03","Cell06","FL","1","3×ΔEA","1"
"MKY0532","03","Cell07","FL","1","3×ΔEA","1"
"MKY0532","04","Cell01","FL","1","3×ΔEA","1"
"MKY0532","04","Cell02","FL","1","3×ΔEA","1"
"MKY0532","04","Cell03","FL","1","3×ΔEA","1"
"MKY0532","04","Cell04","FL","1","3×ΔEA","1"
"MKY0532","04","Cell05","FL","1","3×ΔEA","1"
"MKY0532","04","Cell06","FL","1","3×ΔEA","1"
