Cell,Threshold,Patches,Cross_Area
20180312_MKY0140_01_Cell01_GFP,yen,36,3664
20180312_MKY0140_01_Cell02_GFP,yen,8,1847
20180312_MKY0140_02_Cell01_GFP,yen,23,3444
20180312_MKY0140_03_Cell01_GFP,yen,21,3008
20180312_MKY0140_03_Cell02_GFP,yen,30,2545
20180312_MKY0140_03_Cell03_GFP,yen,32,2964
20180312_MKY0140_04_Cell01_GFP,yen,27,2918
20180312_MKY0140_04_Cell02_GFP,yen,33,3300
20180312_MKY0140_05_Cell01_GFP,yen,27,3712
20180312_MKY0140_05_Cell02_GFP,yen,23,3594
20180312_MKY0140_05_Cell03_GFP,yen,44,3507
20180312_MKY0140_06_Cell01_GFP,yen,24,3714
20180312_MKY0140_06_Cell02_GFP,yen,28,3382
20180312_MKY0140_06_Cell03_GFP,yen,32,3490
20180312_MKY0140_07_Cell01_GFP,yen,32,3735
20180312_MKY0140_07_Cell02_GFP,yen,44,3537
20180312_MKY0140_07_Cell03_GFP,yen,37,3387
20180312_MKY0140_07_Cell04_GFP,yen,29,3525
20180312_MKY0140_08_Cell01_GFP,yen,36,3366
20180312_MKY0140_08_Cell02_GFP,yen,21,3752
20180312_MKY0140_08_Cell03_GFP,yen,38,4128
20180312_MKY0140_09_Cell01_GFP,yen,18,2861
20180312_MKY0140_09_Cell02_GFP,yen,35,4214
20180312_MKY0140_10_Cell01_GFP,yen,36,3627
20180312_MKY0140_11_Cell01_GFP,yen,30,3754
20180312_MKY0140_11_Cell02_GFP,yen,39,3371
20180312_MKY0140_11_Cell03_GFP,yen,34,3373
20180312_MKY0140_12_Cell01_GFP,yen,38,3529
20180312_MKY0140_13_Cell01_GFP,yen,38,3309
20180312_MKY0140_13_Cell02_GFP,yen,24,3744
20180312_MKY0140_13_Cell03_GFP,yen,30,3272
20180312_MKY0140_13_Cell04_GFP,yen,37,4394
20180312_MKY0140_13_Cell05_GFP,yen,30,3087
20180312_MKY0654_01_Cell01_GFP,yen,22,3108
20180312_MKY0654_02_Cell01_GFP,yen,13,3102
20180312_MKY0654_03_Cell01_GFP,yen,7,2782
20180312_MKY0654_03_Cell02_GFP,yen,20,3532
