Cell,Threshold,Patches,Cross_Area
20210526_MKY0140_01_Cell01_GFP,yen,26,2965
20210526_MKY0140_01_Cell02_GFP,yen,24,2750
20210526_MKY0140_01_Cell03_GFP,yen,29,2812
20210526_MKY0140_02_Cell01_GFP,yen,24,2846
20210526_MKY0140_02_Cell02_GFP,yen,31,3349
20210526_MKY0140_02_Cell03_GFP,yen,34,3008
20210526_MKY0140_02_Cell04_GFP,yen,29,2977
20210526_MKY0140_02_Cell05_GFP,yen,30,3254
20210526_MKY0140_02_Cell06_GFP,yen,32,2943
20210526_MKY0140_03_Cell01_GFP,yen,27,3327
20210526_MKY0140_03_Cell02_GFP,yen,24,2398
20210526_MKY0140_03_Cell03_GFP,yen,20,2137
20210526_MKY0140_03_Cell04_GFP,yen,34,2954
20210526_MKY0140_03_Cell05_GFP,yen,24,2622
20210526_MKY0140_04_Cell01_GFP,yen,45,3772
20210526_MKY0140_04_Cell02_GFP,yen,22,2217
20210526_MKY0140_04_Cell03_GFP,yen,32,3012
20210526_MKY0140_04_Cell04_GFP,yen,19,2416
20210526_MKY0140_04_Cell05_GFP,yen,20,2300
20210526_MKY0140_04_Cell06_GFP,yen,22,2914
20210526_MKY0140_05_Cell01_GFP,yen,44,3259
20210526_MKY0140_05_Cell02_GFP,yen,40,3384
20210526_MKY0140_05_Cell03_GFP,yen,27,3087
20210526_MKY0140_05_Cell04_GFP,yen,13,3085
20210526_MKY0140_06_Cell01_GFP,yen,26,2611
20210526_MKY0140_06_Cell02_GFP,yen,27,3592
20210526_MKY0140_06_Cell03_GFP,yen,34,2754
20210526_MKY0140_06_Cell04_GFP,yen,19,2655
20210526_MKY0140_07_Cell01_GFP,yen,39,3328
20210526_MKY0140_07_Cell02_GFP,yen,31,2949
20210526_MKY0140_07_Cell03_GFP,yen,38,3241
20210526_MKY0140_07_Cell04_GFP,yen,25,2630
20210526_MKY0140_08_Cell01_GFP,yen,29,3075
20210526_MKY0140_08_Cell02_GFP,yen,60,3839
20210526_MKY0140_08_Cell03_GFP,yen,31,2888
20210526_MKY0140_09_Cell01_GFP,yen,32,3324
20210526_MKY0140_09_Cell02_GFP,yen,32,2613
20210526_MKY0140_09_Cell03_GFP,yen,32,3602
20210526_MKY0140_09_Cell04_GFP,yen,20,2298
20210526_MKY0140_10_Cell01_GFP,yen,22,3011
20210526_MKY0140_10_Cell02_GFP,yen,40,3645
20210526_MKY0140_10_Cell03_GFP,yen,42,3317
20210526_MKY0140_11_Cell01_GFP,yen,37,3425
20210526_MKY0140_11_Cell02_GFP,yen,38,3314
20210526_MKY0140_11_Cell03_GFP,yen,40,3146
20210526_MKY0140_11_Cell04_GFP,yen,33,3454
20210526_MKY0140_11_Cell05_GFP,yen,30,3063
20210526_MKY0140_12_Cell01_GFP,yen,34,2855
20210526_MKY0140_12_Cell02_GFP,yen,17,2913
20210526_MKY0140_12_Cell03_GFP,yen,25,2988
20210526_MKY0140_12_Cell04_GFP,yen,27,2670
20210526_MKY0140_13_Cell01_GFP,yen,36,3151
20210526_MKY0140_13_Cell02_GFP,yen,30,2782
20210526_MKY0140_13_Cell03_GFP,yen,18,3049
20210526_MKY0140_13_Cell04_GFP,yen,19,2555
20210526_MKY0140_14_Cell01_GFP,yen,33,3654
20210526_MKY0140_14_Cell02_GFP,yen,37,3624
20210526_MKY0140_14_Cell03_GFP,yen,28,2887
