Cell,Threshold,Patches,Cross_Area
20200809_MKY4343R_07_Cell01_GFP,yen,16,2531
20200809_MKY4343R_07_Cell02_GFP,yen,15,2787
20200809_MKY4343R_08_Cell01_GFP,yen,20,2987
20200809_MKY4343R_08_Cell02_GFP,yen,18,3104
20200809_MKY4343R_08_Cell03_GFP,yen,22,2791
20200809_MKY4343R_08_Cell04_GFP,yen,26,3705
20200809_MKY4343R_08_Cell05_GFP,yen,18,3331
20200809_MKY4343R_09_Cell01_GFP,yen,24,2733
20200809_MKY4343R_09_Cell02_GFP,yen,20,3247
20200809_MKY4343R_09_Cell03_GFP,yen,14,3591
20200809_MKY4343R_10_Cell01_GFP,yen,16,2422
20200809_MKY4343R_10_Cell02_GFP,yen,15,3025
20200809_MKY4343R_10_Cell03_GFP,yen,16,2569
20200809_MKY4343R_10_Cell04_GFP,yen,29,3851
20200809_MKY4343R_11_Cell01_GFP,yen,22,2900
20200809_MKY4343R_11_Cell02_GFP,yen,12,2786
20200809_MKY4343R_11_Cell03_GFP,yen,15,2975
20200809_MKY4343R_12_Cell01_GFP,yen,15,3355
20200809_MKY4343R_12_Cell02_GFP,yen,27,3266
20200809_MKY4343R_12_Cell03_GFP,yen,24,3115
20200809_MKY4343R_12_Cell04_GFP,yen,15,2640
20200809_MKY4343R_12_Cell05_GFP,yen,19,2455
20200809_MKY4343R_12_Cell06_GFP,yen,21,4116
20200809_MKY4343R_13_Cell01_GFP,yen,6,2944
20200809_MKY4343R_13_Cell02_GFP,yen,11,2926
20200809_MKY4343R_13_Cell03_GFP,yen,23,3075
20200809_MKY4343R_13_Cell04_GFP,yen,20,2464
20200809_MKY4343R_13_Cell05_GFP,yen,16,3624
20200809_MKY4343R_14_Cell01_GFP,yen,21,3142
20200809_MKY4343R_14_Cell02_GFP,yen,18,2771
20200809_MKY4343R_14_Cell03_GFP,yen,16,3776
20200809_MKY4343R_14_Cell04_GFP,yen,13,3831
20200809_MKY4343R_15_Cell01_GFP,yen,27,3364
20200809_MKY4343R_15_Cell02_GFP,yen,21,3222
20200809_MKY4343R_15_Cell03_GFP,yen,11,2072
20200809_MKY4343R_16_Cell01_GFP,yen,16,2449
20200809_MKY4343R_16_Cell02_GFP,yen,11,2220
20200809_MKY4343R_16_Cell03_GFP,yen,22,2680
20200809_MKY4343R_16_Cell04_GFP,yen,11,2901
20200809_MKY4343R_16_Cell05_GFP,yen,21,3023
20200809_MKY4343R_17_Cell01_GFP,yen,18,2802
20200809_MKY4343R_17_Cell02_GFP,yen,14,2634
20200809_MKY4343R_17_Cell03_GFP,yen,11,2798
20200809_MKY4343R_18_Cell01_GFP,yen,14,2402
