dataset,date,strain,movie,cell,patches,cross_area,area,density,ede1
1,20200809,MKY4343R,07,Cell01,16,2531,42.1,0.3799,+R
1,20200809,MKY4343R,07,Cell02,15,2787,46.4,0.3234,+R
1,20200809,MKY4343R,08,Cell01,20,2987,49.7,0.4024,+R
1,20200809,MKY4343R,08,Cell02,18,3104,51.7,0.3485,+R
1,20200809,MKY4343R,08,Cell03,22,2791,46.4,0.4737,+R
1,20200809,MKY4343R,08,Cell04,26,3705,61.7,0.4217,+R
1,20200809,MKY4343R,08,Cell05,18,3331,55.4,0.3247,+R
1,20200809,MKY4343R,09,Cell01,24,2733,45.5,0.5277,+R
1,20200809,MKY4343R,09,Cell02,20,3247,54.0,0.3701,+R
1,20200809,MKY4343R,09,Cell03,14,3591,59.8,0.2343,+R
1,20200809,MKY4343R,10,Cell01,16,2422,40.3,0.3970,+R
1,20200809,MKY4343R,10,Cell02,15,3025,50.3,0.2980,+R
1,20200809,MKY4343R,10,Cell03,16,2569,42.8,0.3743,+R
1,20200809,MKY4343R,10,Cell04,29,3851,64.1,0.4525,+R
1,20200809,MKY4343R,11,Cell01,22,2900,48.3,0.4559,+R
1,20200809,MKY4343R,11,Cell02,12,2786,46.4,0.2588,+R
1,20200809,MKY4343R,11,Cell03,15,2975,49.5,0.3030,+R
1,20200809,MKY4343R,12,Cell01,15,3355,55.8,0.2687,+R
1,20200809,MKY4343R,12,Cell02,27,3266,54.3,0.4968,+R
1,20200809,MKY4343R,12,Cell03,24,3115,51.8,0.4630,+R
1,20200809,MKY4343R,12,Cell04,15,2640,43.9,0.3414,+R
1,20200809,MKY4343R,12,Cell05,19,2455,40.9,0.4651,+R
1,20200809,MKY4343R,12,Cell06,21,4116,68.5,0.3066,+R
1,20200809,MKY4343R,13,Cell01, 6,2944,49.0,0.1225,+R
1,20200809,MKY4343R,13,Cell02,11,2926,48.7,0.2259,+R
1,20200809,MKY4343R,13,Cell03,23,3075,51.2,0.4495,+R
1,20200809,MKY4343R,13,Cell04,20,2464,41.0,0.4878,+R
1,20200809,MKY4343R,13,Cell05,16,3624,60.3,0.2653,+R
1,20200809,MKY4343R,14,Cell01,21,3142,52.3,0.4016,+R
1,20200809,MKY4343R,14,Cell02,18,2771,46.1,0.3904,+R
1,20200809,MKY4343R,14,Cell03,16,3776,62.8,0.2546,+R
1,20200809,MKY4343R,14,Cell04,13,3831,63.8,0.2039,+R
1,20200809,MKY4343R,15,Cell01,27,3364,56.0,0.4823,+R
1,20200809,MKY4343R,15,Cell02,21,3222,53.6,0.3917,+R
1,20200809,MKY4343R,15,Cell03,11,2072,34.5,0.3190,+R
1,20200809,MKY4343R,16,Cell01,16,2449,40.8,0.3926,+R
1,20200809,MKY4343R,16,Cell02,11,2220,36.9,0.2978,+R
1,20200809,MKY4343R,16,Cell03,22,2680,44.6,0.4933,+R
1,20200809,MKY4343R,16,Cell04,11,2901,48.3,0.2279,+R
1,20200809,MKY4343R,16,Cell05,21,3023,50.3,0.4174,+R
1,20200809,MKY4343R,17,Cell01,18,2802,46.6,0.3860,+R
1,20200809,MKY4343R,17,Cell02,14,2634,43.8,0.3194,+R
1,20200809,MKY4343R,17,Cell03,11,2798,46.6,0.2362,+R
1,20200809,MKY4343R,18,Cell01,14,2402,40.0,0.3502,+R
1,20200809,MKY4343R,18,Cell02,17,2732,45.5,0.3739,+R
1,20200809,MKY4343R,18,Cell03,15,2925,48.7,0.3082,+R
1,20200809,MKY4343R,18,Cell04,12,1868,31.1,0.3860,+R
1,20200809,MKY4343R,18,Cell05,20,3398,56.5,0.3537,+R
1,20200809,MKY4343R,19,Cell01,18,3296,54.8,0.3282,+R
1,20200809,MKY4343R,19,Cell02,11,3012,50.1,0.2195,+R
1,20200809,MKY4343R,20,Cell01,18,3158,52.6,0.3425,+R
1,20200809,MKY4343R,20,Cell02, 7,3378,56.2,0.1245,+R
1,20200809,MKY4343R,20,Cell03, 9,2107,35.1,0.2567,+R
1,20200809,MKY4343R,21,Cell01,22,2878,47.9,0.4594,+R
1,20200809,MKY4343R,21,Cell02,17,3052,50.8,0.3347,+R
1,20200809,MKY4343R,21,Cell03,17,2986,49.7,0.3421,+R
1,20200809,MKY4343R,21,Cell04,24,2864,47.7,0.5036,+R
1,20200809,MKY4343R,22,Cell01,13,3105,51.7,0.2516,+R
1,20200809,MKY4343R,22,Cell02, 8,1932,32.2,0.2488,+R
1,20200809,MKY4343R,22,Cell03, 9,2449,40.8,0.2208,+R
1,20200809,MKY4343R,23,Cell01,11,2622,43.6,0.2521,+R
1,20200809,MKY4343R,23,Cell02,23,2865,47.7,0.4824,+R
1,20200809,MKY4343R,23,Cell03,15,3096,51.5,0.2911,+R
1,20200809,MKY4343R,23,Cell04, 7,2517,41.9,0.1671,+R
1,20200809,MKY4343R,23,Cell05,18,2884,48.0,0.3751,+R
1,20200809,MKY4343R,24,Cell01,18,3218,53.6,0.3361,+R
1,20200809,MKY4343R,24,Cell02,13,2944,49.0,0.2654,+R
1,20200809,MKY4343R,24,Cell03,13,2664,44.3,0.2932,+R
1,20200809,MKY4343R,24,Cell04,15,2923,48.6,0.3084,+R
1,20200809,MKY4343R,24,Cell05,10,2023,33.7,0.2970,+R
1,20200809,MKY4343,07,Cell01,19,2766,46.0,0.4128,-R
1,20200809,MKY4343,07,Cell02,21,3511,58.4,0.3594,-R
1,20200809,MKY4343,07,Cell03,12,3049,50.7,0.2365,-R
1,20200809,MKY4343,07,Cell04,23,3317,55.2,0.4167,-R
1,20200809,MKY4343,07,Cell05,14,3084,51.3,0.2728,-R
1,20200809,MKY4343,08,Cell01,19,3493,58.1,0.3269,-R
1,20200809,MKY4343,08,Cell02,11,4085,68.0,0.1618,-R
1,20200809,MKY4343,08,Cell03, 7,3093,51.5,0.1360,-R
1,20200809,MKY4343,08,Cell04,25,3199,53.2,0.4696,-R
1,20200809,MKY4343,09,Cell01, 4,2880,47.9,0.0835,-R
1,20200809,MKY4343,09,Cell02,19,2686,44.7,0.4251,-R
1,20200809,MKY4343,09,Cell03,11,3091,51.4,0.2139,-R
1,20200809,MKY4343,09,Cell04,27,3050,50.8,0.5320,-R
1,20200809,MKY4343,09,Cell05, 6,3741,62.3,0.0964,-R
1,20200809,MKY4343,10,Cell01,24,2496,41.5,0.5778,-R
1,20200809,MKY4343,10,Cell02,17,3184,53.0,0.3208,-R
1,20200809,MKY4343,11,Cell01,12,3144,52.3,0.2294,-R
1,20200809,MKY4343,11,Cell02,12,3436,57.2,0.2099,-R
1,20200809,MKY4343,11,Cell03, 2,2439,40.6,0.0493,-R
1,20200809,MKY4343,11,Cell04,14,3458,57.5,0.2433,-R
1,20200809,MKY4343,12,Cell01,10,3372,56.1,0.1782,-R
1,20200809,MKY4343,12,Cell02,11,3683,61.3,0.1795,-R
1,20200809,MKY4343,12,Cell03,24,2951,49.1,0.4887,-R
1,20200809,MKY4343,12,Cell04, 2,2127,35.4,0.0565,-R
1,20200809,MKY4343,13,Cell01,13,2685,44.7,0.2910,-R
1,20200809,MKY4343,13,Cell02,15,3018,50.2,0.2987,-R
1,20200809,MKY4343,13,Cell03,14,2710,45.1,0.3104,-R
1,20200809,MKY4343,14,Cell01,18,3018,50.2,0.3584,-R
1,20200809,MKY4343,14,Cell02,15,3198,53.2,0.2819,-R
1,20200809,MKY4343,14,Cell03,18,2728,45.4,0.3965,-R
1,20200809,MKY4343,14,Cell04,16,3184,53.0,0.3020,-R
1,20200809,MKY4343,15,Cell01,19,3129,52.1,0.3649,-R
1,20200809,MKY4343,15,Cell02,10,2535,42.2,0.2371,-R
1,20200809,MKY4343,15,Cell03,18,3249,54.1,0.3329,-R
1,20200809,MKY4343,15,Cell04,10,3372,56.1,0.1782,-R
1,20200809,MKY4343,16,Cell01,12,2322,38.6,0.3106,-R
1,20200809,MKY4343,16,Cell02,10,3339,55.6,0.1800,-R
1,20200809,MKY4343,16,Cell03,21,3154,52.5,0.4001,-R
1,20200809,MKY4343,16,Cell04,22,3122,52.0,0.4235,-R
1,20200809,MKY4343,16,Cell05,15,2823,47.0,0.3193,-R
1,20200809,MKY4343,17,Cell01,12,2674,44.5,0.2697,-R
1,20200809,MKY4343,17,Cell02,19,2848,47.4,0.4009,-R
1,20200809,MKY4343,17,Cell03,12,2542,42.3,0.2837,-R
1,20200809,MKY4343,17,Cell04,30,3785,63.0,0.4763,-R
1,20200809,MKY4343,17,Cell06, 6,2904,48.3,0.1242,-R
1,20200809,MKY4343,17,Cell07,18,2672,44.5,0.4048,-R
1,20200809,MKY4343,18,Cell01,16,3397,56.5,0.2830,-R
1,20200809,MKY4343,18,Cell02,13,3146,52.4,0.2483,-R
1,20200809,MKY4343,18,Cell03,24,3344,55.6,0.4313,-R
1,20200809,MKY4343,18,Cell04,16,3565,59.3,0.2697,-R
1,20200809,MKY4343,19,Cell01,20,3010,50.1,0.3993,-R
1,20200809,MKY4343,19,Cell02,14,2837,47.2,0.2965,-R
1,20200809,MKY4343,19,Cell03,18,2716,45.2,0.3983,-R
1,20200809,MKY4343,19,Cell04,15,2842,47.3,0.3172,-R
1,20200809,MKY4343,19,Cell05,16,2897,48.2,0.3319,-R
1,20200809,MKY4343,19,Cell06,16,3563,59.3,0.2699,-R
1,20200809,MKY4343,19,Cell07,10,2627,43.7,0.2287,-R
1,20200809,MKY4343,20,Cell01,13,2869,47.7,0.2723,-R
1,20200809,MKY4343,20,Cell02,18,3527,58.7,0.3067,-R
1,20200809,MKY4343,20,Cell03,15,3089,51.4,0.2918,-R
1,20200809,MKY4343,20,Cell04,13,4896,81.5,0.1596,-R
1,20200809,MKY4343,21,Cell01,15,2461,41.0,0.3663,-R
1,20200809,MKY4343,21,Cell02,14,3262,54.3,0.2579,-R
1,20200809,MKY4343,21,Cell03,20,2215,36.9,0.5426,-R
1,20200809,MKY4343,21,Cell04,11,2823,47.0,0.2342,-R
1,20200809,MKY4343,22,Cell01,13,3130,52.1,0.2496,-R
1,20200809,MKY4343,22,Cell02, 9,2675,44.5,0.2022,-R
1,20200809,MKY4343,22,Cell03,25,3756,62.5,0.4000,-R
1,20200809,MKY4343,22,Cell04,19,3451,57.4,0.3308,-R
1,20200809,MKY4343,23,Cell01,13,3200,53.3,0.2441,-R
1,20200809,MKY4343,23,Cell02,14,2244,37.3,0.3749,-R
1,20200809,MKY4343,23,Cell03,18,3167,52.7,0.3415,-R
1,20200809,MKY4343,23,Cell04,22,2924,48.7,0.4521,-R
1,20200809,MKY4343,24,Cell01, 9,2769,46.1,0.1953,-R
1,20200809,MKY4343,24,Cell02, 4,3263,54.3,0.0737,-R
1,20200809,MKY4343,24,Cell03,31,3521,58.6,0.5291,-R
1,20200809,MKY4343,24,Cell04,17,2300,38.3,0.4442,-R
1,20200909,MKY0140,01,Cell01,28,2395,39.9,0.7025,wt
1,20200909,MKY0140,01,Cell02,29,2821,46.9,0.6178,wt
1,20200909,MKY0140,01,Cell03,26,2176,36.2,0.7180,wt
1,20200909,MKY0140,01,Cell04,31,2485,41.4,0.7496,wt
1,20200909,MKY0140,01,Cell05,23,4188,69.7,0.3300,wt
1,20200909,MKY0140,02,Cell01,30,3174,52.8,0.5680,wt
1,20200909,MKY0140,02,Cell02,24,2507,41.7,0.5753,wt
1,20200909,MKY0140,02,Cell03,16,3044,50.7,0.3159,wt
1,20200909,MKY0140,02,Cell04,28,3099,51.6,0.5429,wt
1,20200909,MKY0140,02,Cell05,18,3072,51.1,0.3521,wt
1,20200909,MKY0140,02,Cell06,32,3283,54.6,0.5857,wt
1,20200909,MKY0140,03,Cell01,19,2737,45.5,0.4172,wt
1,20200909,MKY0140,03,Cell02,22,2084,34.7,0.6344,wt
1,20200909,MKY0140,03,Cell03,25,3611,60.1,0.4160,wt
1,20200909,MKY0140,03,Cell04,38,3042,50.6,0.7507,wt
1,20200909,MKY0140,03,Cell05,29,3688,61.4,0.4725,wt
1,20200909,MKY0140,03,Cell06,29,4599,76.5,0.3789,wt
1,20200909,MKY0140,04,Cell01,39,3355,55.8,0.6985,wt
1,20200909,MKY0140,04,Cell02,18,2542,42.3,0.4255,wt
1,20200909,MKY0140,04,Cell03,27,3161,52.6,0.5133,wt
1,20200909,MKY0140,05,Cell01,27,3217,53.5,0.5044,wt
1,20200909,MKY0140,05,Cell02,24,3183,53.0,0.4531,wt
1,20200909,MKY0140,05,Cell03,33,3575,59.5,0.5547,wt
1,20200909,MKY0140,06,Cell01,26,3630,60.4,0.4304,wt
1,20200909,MKY0140,06,Cell02,16,2558,42.6,0.3759,wt
1,20200909,MKY0140,06,Cell03,30,3409,56.7,0.5288,wt
1,20200909,MKY0140,06,Cell04,24,2562,42.6,0.5629,wt
1,20200909,MKY0140,06,Cell05,20,2244,37.3,0.5356,wt
1,20200909,MKY0140,06,Cell06,25,3814,63.5,0.3939,wt
1,20200909,MKY0140,07,Cell01,25,3284,54.6,0.4575,wt
1,20200909,MKY0140,07,Cell02,34,2721,45.3,0.7509,wt
1,20200909,MKY0140,07,Cell03,38,2947,49.0,0.7749,wt
1,20200909,MKY0140,08,Cell01,38,3399,56.6,0.6718,wt
1,20200909,MKY0140,08,Cell02,22,2143,35.7,0.6169,wt
1,20200909,MKY0140,08,Cell03, 8,1720,28.6,0.2795,wt
1,20200909,MKY0140,08,Cell04, 8,1749,29.1,0.2749,wt
1,20200909,MKY0140,08,Cell05,34,3245,54.0,0.6296,wt
1,20200909,MKY0140,08,Cell06,29,4271,71.1,0.4080,wt
1,20200909,MKY0140,08,Cell07,24,3896,64.8,0.3702,wt
1,20200909,MKY0140,09,Cell01,43,3578,59.5,0.7222,wt
1,20200909,MKY0140,09,Cell02,25,2983,49.6,0.5036,wt
1,20200909,MKY0140,09,Cell03,33,2724,45.3,0.7280,wt
1,20200909,MKY0140,09,Cell04,33,2882,48.0,0.6881,wt
1,20200909,MKY0140,09,Cell05,29,3594,59.8,0.4849,wt
1,20200909,MKY0140,10,Cell01,26,3183,53.0,0.4909,wt
1,20200909,MKY0140,10,Cell02,26,2810,46.8,0.5560,wt
1,20200909,MKY0140,10,Cell03,24,3389,56.4,0.4256,wt
1,20200909,MKY0140,10,Cell04,20,2204,36.7,0.5453,wt
1,20200909,MKY0140,11,Cell01,29,2839,47.2,0.6138,wt
1,20200909,MKY0140,11,Cell02,21,3003,50.0,0.4202,wt
1,20200909,MKY0140,11,Cell03,21,2078,34.6,0.6073,wt
1,20200909,MKY0140,11,Cell04,32,3221,53.6,0.5970,wt
1,20200909,MKY0140,11,Cell05,26,2769,46.1,0.5642,wt
1,20200909,MKY0140,12,Cell01,23,2912,48.5,0.4746,wt
1,20200909,MKY0140,12,Cell02,20,2908,48.4,0.4133,wt
1,20200909,MKY0140,12,Cell03,28,2908,48.4,0.5786,wt
1,20200909,MKY0140,12,Cell04,17,2014,33.5,0.5072,wt
1,20200909,MKY0140,13,Cell01,32,2910,48.4,0.6608,wt
1,20200909,MKY0140,13,Cell02,28,3049,50.7,0.5519,wt
1,20200909,MKY0140,13,Cell03,34,3145,52.3,0.6496,wt
1,20200909,MKY0140,13,Cell04,19,3454,57.5,0.3306,wt
1,20200909,MKY0140,13,Cell05,24,4464,74.3,0.3231,wt
1,20200909,MKY0140,14,Cell01,31,2782,46.3,0.6696,wt
1,20200909,MKY0140,14,Cell02,36,3037,50.5,0.7123,wt
1,20200909,MKY0140,14,Cell03,29,3540,58.9,0.4923,wt
1,20200909,MKY0140,15,Cell01,36,3425,57.0,0.6316,wt
1,20200909,MKY0140,15,Cell02,19,2374,39.5,0.4809,wt
1,20200909,MKY0140,15,Cell03,26,2962,49.3,0.5275,wt
1,20200909,MKY0140,15,Cell04,33,2603,43.3,0.7618,wt
1,20200909,MKY0140,15,Cell05,24,2976,49.5,0.4846,wt
1,20200909,MKY0140,16,Cell01,26,3770,62.7,0.4144,wt
1,20200909,MKY0140,16,Cell02,23,3281,54.6,0.4213,wt
1,20200909,MKY0140,16,Cell03,26,3416,56.8,0.4574,wt
1,20200909,MKY0140,16,Cell04,28,2565,42.7,0.6560,wt
1,20200909,MKY0140,16,Cell05,28,3340,55.6,0.5038,wt
1,20200909,MKY0140,16,Cell06,30,3492,58.1,0.5163,wt
1,20200909,MKY0140,17,Cell01,28,3503,58.3,0.4803,wt
1,20200909,MKY0140,17,Cell02,33,3277,54.5,0.6051,wt
1,20200909,MKY0140,17,Cell03,26,2283,38.0,0.6844,wt
1,20200909,MKY0140,17,Cell04,29,3905,65.0,0.4463,wt
1,20200909,MKY0140,17,Cell05,42,3414,56.8,0.7393,wt
1,20200909,MKY0140,18,Cell01,27,2749,45.7,0.5902,wt
1,20200909,MKY0140,18,Cell02,26,2974,49.5,0.5254,wt
1,20200909,MKY0140,18,Cell03,42,4365,72.6,0.5782,wt
