Cell,Threshold,Patches,Cross_Area
20200828_MKY0140_01_Cell01_GFP,yen,30,3485
20200828_MKY0140_01_Cell02_GFP,yen,27,3161
20200828_MKY0140_01_Cell03_GFP,yen,26,2356
20200828_MKY0140_01_Cell04_GFP,yen,29,2140
20200828_MKY0140_01_Cell05_GFP,yen,29,2739
20200828_MKY0140_01_Cell06_GFP,yen,29,4448
20200828_MKY0140_01_Cell07_GFP,yen,26,3094
20200828_MKY0140_02_Cell01_GFP,yen,25,2418
20200828_MKY0140_02_Cell02_GFP,yen,31,3123
20200828_MKY0140_02_Cell03_GFP,yen,27,3600
20200828_MKY0140_02_Cell04_GFP,yen,14,1779
20200828_MKY0140_03_Cell01_GFP,yen,22,2673
20200828_MKY0140_03_Cell02_GFP,yen,31,2969
20200828_MKY0140_03_Cell03_GFP,yen,16,4077
20200828_MKY0140_03_Cell04_GFP,yen,26,2922
20200828_MKY0140_03_Cell05_GFP,yen,25,3243
20200828_MKY0140_03_Cell06_GFP,yen,35,3163
20200828_MKY0140_04_Cell01_GFP,yen,24,2735
20200828_MKY0140_04_Cell02_GFP,yen,39,3298
20200828_MKY0140_04_Cell03_GFP,yen,23,2942
20200828_MKY0140_05_Cell01_GFP,yen,20,3063
20200828_MKY0140_05_Cell02_GFP,yen,32,3406
20200828_MKY0140_05_Cell03_GFP,yen,17,3141
20200828_MKY0140_05_Cell04_GFP,yen,25,4116
20200828_MKY0140_06_Cell01_GFP,yen,30,3051
20200828_MKY0140_06_Cell02_GFP,yen,37,3766
20200828_MKY0140_06_Cell03_GFP,yen,33,2809
20200828_MKY0140_06_Cell04_GFP,yen,9,2945
20200828_MKY0140_07_Cell01_GFP,yen,31,3659
20200828_MKY0140_07_Cell02_GFP,yen,11,3806
20200828_MKY0140_07_Cell03_GFP,yen,33,3844
20200828_MKY0140_07_Cell04_GFP,yen,31,4448
20200828_MKY0140_08_Cell01_GFP,yen,38,3534
20200828_MKY0140_08_Cell02_GFP,yen,31,2508
20200828_MKY0140_08_Cell03_GFP,yen,16,2489
20200828_MKY0140_09_Cell01_GFP,yen,34,3013
20200828_MKY0140_09_Cell02_GFP,yen,34,2976
20200828_MKY0140_09_Cell03_GFP,yen,27,2651
20200828_MKY0140_09_Cell04_GFP,yen,26,2218
20200828_MKY0140_09_Cell05_GFP,yen,34,2690
20200828_MKY0140_09_Cell06_GFP,yen,15,1995
20200828_MKY0140_10_Cell01_GFP,yen,30,3998
20200828_MKY0140_10_Cell02_GFP,yen,28,2948
20200828_MKY0140_10_Cell03_GFP,yen,21,2721
20200828_MKY0140_11_Cell01_GFP,yen,29,2983
20200828_MKY0140_11_Cell02_GFP,yen,38,2899
20200828_MKY0140_12_Cell01_GFP,yen,26,3112
20200828_MKY0140_12_Cell02_GFP,yen,35,2963
20200828_MKY0140_12_Cell03_GFP,yen,26,2572
20200828_MKY0140_12_Cell04_GFP,yen,32,3275
20200828_MKY0140_13_Cell01_GFP,yen,31,3039
20200828_MKY0140_13_Cell02_GFP,yen,25,3214
20200828_MKY0140_13_Cell03_GFP,yen,28,2909
20200828_MKY0140_13_Cell04_GFP,yen,34,2941
20200828_MKY0140_14_Cell01_GFP,yen,41,2909
20200828_MKY0140_14_Cell02_GFP,yen,30,3027
20200828_MKY0140_14_Cell03_GFP,yen,25,2838
20200828_MKY0140_14_Cell04_GFP,yen,32,2750
20200828_MKY0140_14_Cell05_GFP,yen,35,4141
20200828_MKY0140_15_Cell01_GFP,yen,32,3423
20200828_MKY0140_15_Cell02_GFP,yen,26,2645
20200828_MKY0140_15_Cell03_GFP,yen,23,3146
20200828_MKY0140_15_Cell04_GFP,yen,22,5693
20200828_MKY0654_01_Cell01_GFP,yen,15,2370
20200828_MKY0654_01_Cell02_GFP,yen,14,2489
20200828_MKY0654_02_Cell01_GFP,yen,28,3078
20200828_MKY0654_02_Cell02_GFP,yen,15,2754
20200828_MKY0654_02_Cell03_GFP,yen,13,2439
20200828_MKY0654_03_Cell01_GFP,yen,12,3062
20200828_MKY0654_03_Cell02_GFP,yen,13,2538
20200828_MKY0654_04_Cell01_GFP,yen,10,2368
20200828_MKY0654_04_Cell02_GFP,yen,15,2966
20200828_MKY0654_04_Cell03_GFP,yen,19,3968
20200828_MKY0654_05_Cell01_GFP,yen,18,2861
20200828_MKY0654_05_Cell02_GFP,yen,20,3258
20200828_MKY0654_05_Cell03_GFP,yen,18,3849
20200828_MKY0654_05_Cell04_GFP,yen,12,3570
20200828_MKY0654_06_Cell01_GFP,yen,15,2815
20200828_MKY0654_06_Cell02_GFP,yen,9,2627
20200828_MKY0654_06_Cell03_GFP,yen,6,2733
20200828_MKY0654_07_Cell01_GFP,yen,21,3692
20200828_MKY0654_07_Cell02_GFP,yen,13,3572
20200828_MKY0654_07_Cell03_GFP,yen,15,3361
20200828_MKY0654_07_Cell04_GFP,yen,17,3372
20200828_MKY0654_07_Cell05_GFP,yen,15,3015
20200828_MKY0654_08_Cell01_GFP,yen,13,2839
20200828_MKY0654_08_Cell02_GFP,yen,10,3097
20200828_MKY0654_08_Cell03_GFP,yen,7,2751
20200828_MKY0654_09_Cell01_GFP,yen,23,3204
20200828_MKY0654_09_Cell02_GFP,yen,18,3257
20200828_MKY0654_10_Cell01_GFP,yen,14,3558
20200828_MKY0654_10_Cell02_GFP,yen,26,3270
20200828_MKY0654_10_Cell03_GFP,yen,9,3785
20200828_MKY0654_11_Cell01_GFP,yen,18,3355
20200828_MKY0654_11_Cell02_GFP,yen,13,2647
20200828_MKY0654_11_Cell03_GFP,yen,14,2883
20200828_MKY0654_12_Cell01_GFP,yen,11,3671
20200828_MKY0654_12_Cell02_GFP,yen,17,2799
20200828_MKY0654_13_Cell01_GFP,yen,14,2918
20200828_MKY0654_13_Cell02_GFP,yen,18,3215
20200828_MKY0654_13_Cell03_GFP,yen,12,3162
20200828_MKY0654_15_Cell01_GFP,yen,18,2760
20200828_MKY0654_15_Cell02_GFP,yen,10,2609
20200828_MKY0654_15_Cell03_GFP,yen,13,3120
20200828_MKY0654_16_Cell01_GFP,yen,18,3330
20200828_MKY0654_16_Cell02_GFP,yen,14,3189
20200828_MKY0654_16_Cell03_GFP,yen,25,3259
20200828_MKY0654_17_Cell01_GFP,yen,11,3889
20200828_MKY0654_17_Cell02_GFP,yen,13,3456
20200828_MKY0654_17_Cell03_GFP,yen,15,4639
20200828_MKY0654_18_Cell01_GFP,yen,25,3202
20200828_MKY0654_18_Cell02_GFP,yen,16,2956
20200828_MKY0654_19_Cell01_GFP,yen,18,3434
20200828_MKY0654_19_Cell02_GFP,yen,14,3135
20200828_MKY0654_20_Cell01_GFP,yen,16,3323
20200828_MKY0654_20_Cell02_GFP,yen,11,3524
20200828_MKY0654_21_Cell01_GFP,yen,23,3078
20200828_MKY0654_21_Cell02_GFP,yen,10,2542
20200828_MKY0654_22_Cell01_GFP,yen,5,3280
20200828_MKY0654_22_Cell02_GFP,yen,14,3324
20200828_MKY0654_22_Cell03_GFP,yen,18,2339
20200828_MKY0654_23_Cell01_GFP,yen,18,3721
20200828_MKY0654_23_Cell02_GFP,yen,9,2919
20200828_MKY0654_23_Cell03_GFP,yen,10,2728
20200904_MKY3782_01_GFP_Cell01,yen,12,2155
20200904_MKY3782_01_GFP_Cell02,yen,6,3024
20200904_MKY3782_01_GFP_Cell03,yen,8,2211
20200904_MKY3782_02_Cell01_GFP,yen,21,4588
20200904_MKY3782_02_Cell02_GFP,yen,22,2986
20200904_MKY3782_02_Cell03_GFP,yen,20,3619
20200904_MKY3782_03_Cell01_GFP,yen,16,2901
20200904_MKY3782_03_Cell02_GFP,yen,11,3487
20200904_MKY3782_03_Cell03_GFP,yen,20,2904
20200904_MKY3782_03_Cell04_GFP,yen,15,3122
20200904_MKY3782_03_Cell05_GFP,yen,15,2558
20200904_MKY3782_04_Cell01_GFP,yen,8,2397
20200904_MKY3782_04_Cell02_GFP,yen,15,2332
20200904_MKY3782_04_Cell03_GFP,yen,19,3170
20200904_MKY3782_04_Cell04_GFP,yen,17,3668
20200904_MKY3782_04_Cell05_GFP,yen,14,2982
20200904_MKY3782_05_Cell01_GFP,yen,9,3098
20200904_MKY3782_05_Cell02_GFP,yen,11,2784
20200904_MKY3782_05_Cell03_GFP,yen,6,2162
20200904_MKY3782_05_Cell04_GFP,yen,21,3671
20200904_MKY3782_06_Cell01_GFP,yen,19,2995
20200904_MKY3782_06_Cell02_GFP,yen,7,2532
20200904_MKY3782_06_Cell03_GFP,yen,17,2997
20200904_MKY3782_07_Cell01_GFP,yen,20,4171
20200904_MKY3782_07_Cell02_GFP,yen,17,2931
20200904_MKY3782_07_Cell03_GFP,yen,23,5248
20200904_MKY3782_07_Cell04_GFP,yen,16,3186
20200904_MKY3782_08_Cell01_GFP,yen,18,3623
20200904_MKY3782_08_Cell02_GFP,yen,25,5212
20200904_MKY3782_08_Cell03_GFP,yen,22,3405
20200904_MKY3782_08_Cell04_GFP,yen,22,3145
20200904_MKY3782_09_Cell01_GFP,yen,14,2486
20200904_MKY3782_09_Cell02_GFP,yen,24,3794
20200904_MKY3782_09_Cell03_GFP,yen,19,2403
20200904_MKY3782_09_Cell04_GFP,yen,18,4037
20200904_MKY3782_09_Cell05_GFP,yen,21,3717
20200904_MKY3782_10_Cell01_GFP,yen,14,2763
20200904_MKY3782_10_Cell02_GFP,yen,19,1942
20200904_MKY3782_10_Cell03_GFP,yen,22,3046
20200904_MKY3782_10_Cell04_GFP,yen,11,2750
20200904_MKY3782_11_Cell01_GFP,yen,13,3589
20200904_MKY3782_11_Cell02_GFP,yen,24,3389
20200904_MKY3782_11_Cell03_GFP,yen,15,3324
20200904_MKY3782_12_Cell01_GFP,yen,10,3049
20200904_MKY3782_12_Cell02_GFP,yen,13,2223
20200904_MKY3782_12_Cell03_GFP,yen,16,2678
20200904_MKY3782_12_Cell04_GFP,yen,16,2802
20200904_MKY3782_13_Cell01_GFP,yen,24,3206
20200904_MKY3782_13_Cell02_GFP,yen,21,2577
20200904_MKY3782_13_Cell03_GFP,yen,13,2484
