"dataset","date","strain","movie","cell","patches","cross_area","area","density","ede1"
"1","20200828","MKY0140","01","Cell01","30","3485"," 58.0","0.5173","EDE1"
"1","20200828","MKY0140","01","Cell02","27","3161"," 52.6","0.5133","EDE1"
"1","20200828","MKY0140","01","Cell03","26","2356"," 39.2","0.6632","EDE1"
"1","20200828","MKY0140","01","Cell04","29","2140"," 35.6","0.8143","EDE1"
"1","20200828","MKY0140","01","Cell05","29","2739"," 45.6","0.6362","EDE1"
"1","20200828","MKY0140","01","Cell06","29","4448"," 74.0","0.3918","EDE1"
"1","20200828","MKY0140","01","Cell07","26","3094"," 51.5","0.5050","EDE1"
"1","20200828","MKY0140","02","Cell01","25","2418"," 40.2","0.6213","EDE1"
"1","20200828","MKY0140","02","Cell02","31","3123"," 52.0","0.5965","EDE1"
"1","20200828","MKY0140","02","Cell03","27","3600"," 59.9","0.4507","EDE1"
"1","20200828","MKY0140","02","Cell04","14","1779"," 29.6","0.4729","EDE1"
"1","20200828","MKY0140","03","Cell01","22","2673"," 44.5","0.4946","EDE1"
"1","20200828","MKY0140","03","Cell02","31","2969"," 49.4","0.6274","EDE1"
"1","20200828","MKY0140","03","Cell03","16","4077"," 67.8","0.2358","EDE1"
"1","20200828","MKY0140","03","Cell04","26","2922"," 48.6","0.5347","EDE1"
"1","20200828","MKY0140","03","Cell05","25","3243"," 54.0","0.4632","EDE1"
"1","20200828","MKY0140","03","Cell06","35","3163"," 52.6","0.6650","EDE1"
"1","20200828","MKY0140","04","Cell01","24","2735"," 45.5","0.5273","EDE1"
"1","20200828","MKY0140","04","Cell02","39","3298"," 54.9","0.7106","EDE1"
"1","20200828","MKY0140","04","Cell03","23","2942"," 49.0","0.4698","EDE1"
"1","20200828","MKY0140","05","Cell01","20","3063"," 51.0","0.3924","EDE1"
"1","20200828","MKY0140","05","Cell02","32","3406"," 56.7","0.5646","EDE1"
"1","20200828","MKY0140","05","Cell03","17","3141"," 52.3","0.3252","EDE1"
"1","20200828","MKY0140","05","Cell04","25","4116"," 68.5","0.3650","EDE1"
"1","20200828","MKY0140","06","Cell01","30","3051"," 50.8","0.5909","EDE1"
"1","20200828","MKY0140","06","Cell02","37","3766"," 62.7","0.5904","EDE1"
"1","20200828","MKY0140","06","Cell03","33","2809"," 46.7","0.7060","EDE1"
"1","20200828","MKY0140","06","Cell04"," 9","2945"," 49.0","0.1836","EDE1"
"1","20200828","MKY0140","07","Cell01","31","3659"," 60.9","0.5091","EDE1"
"1","20200828","MKY0140","07","Cell02","11","3806"," 63.3","0.1737","EDE1"
"1","20200828","MKY0140","07","Cell03","33","3844"," 64.0","0.5159","EDE1"
"1","20200828","MKY0140","07","Cell04","31","4448"," 74.0","0.4188","EDE1"
"1","20200828","MKY0140","08","Cell01","38","3534"," 58.8","0.6462","EDE1"
"1","20200828","MKY0140","08","Cell02","31","2508"," 41.7","0.7428","EDE1"
"1","20200828","MKY0140","08","Cell03","16","2489"," 41.4","0.3863","EDE1"
"1","20200828","MKY0140","09","Cell01","34","3013"," 50.1","0.6781","EDE1"
"1","20200828","MKY0140","09","Cell02","34","2976"," 49.5","0.6865","EDE1"
"1","20200828","MKY0140","09","Cell03","27","2651"," 44.1","0.6120","EDE1"
"1","20200828","MKY0140","09","Cell04","26","2218"," 36.9","0.7044","EDE1"
"1","20200828","MKY0140","09","Cell05","34","2690"," 44.8","0.7595","EDE1"
"1","20200828","MKY0140","09","Cell06","15","1995"," 33.2","0.4518","EDE1"
"1","20200828","MKY0140","10","Cell01","30","3998"," 66.5","0.4509","EDE1"
"1","20200828","MKY0140","10","Cell02","28","2948"," 49.1","0.5708","EDE1"
"1","20200828","MKY0140","10","Cell03","21","2721"," 45.3","0.4638","EDE1"
"1","20200828","MKY0140","11","Cell01","29","2983"," 49.6","0.5842","EDE1"
